Lead_ID,Brand_Name,Marketplace,Lead_Source,Identified_Pain_Points,Outreach_Channel,Outreach_Status,Meeting_Date,Notes
L-001,Urban Decor India,Amazon IN,LinkedIn Search,Low Buy Box (74%) and 30+ unshipped FBM orders,LinkedIn InMail,Meeting Booked,2026-04-12,Interested in operations audit and shipping setup.
L-002,Glow Essentials,Amazon UAE,Upwork Posting,High ACOS (42%) and unoptimized bullet points,Upwork Bid,Proposal Sent,None,ACOS optimization proposal with custom budget plan.
L-003,Shara Apparel,Amazon SA,Cold Outreach,Featured Offer at 80% and slow customer replies,Cold Email,Follow-up Sent,None,Sent free audit report with 5 custom listing tips.
L-004,Veda Herbs,Amazon IN,LinkedIn Connection,Negative seller feedback at 3.40 rating,LinkedIn DM,Meeting Booked,2026-04-18,Gave client a feedback recovery SLA template.
L-005,FitActive Gear,Amazon UAE,Upwork Posting,High refund rates and listing content issues,Upwork Bid,Closed (Won),2026-04-20,Hired for a 60-day account management retainer!
L-006,Royal Rugs,Amazon IN,Cold Outreach,No A+ content and ad spending with zero purchases,Cold Email,Audit Sent,None,Sent loom video showing PPC targeting leaks.
L-007,Crafty Homes,Amazon UAE,LinkedIn Search,Inventory stockouts and high shipping delays,LinkedIn InMail,Interested,2026-05-02,Client wants to discuss FBA transition strategy.
L-008,Zest Footwear,Amazon IN,Upwork Posting,High impressions but low click-through-rate,Upwork Bid,Proposal Sent,None,Proposed negative keywords and title SEO changes.
L-009,Aura Beauty,Amazon SA,Cold Outreach,Seller feedback rating at 3.8 and inventory errors,Cold Email,Outreach Sent,None,Initial pitch sent with account optimization roadmap.
L-010,Nomad Travel Co,Amazon UAE,LinkedIn Search,Low page views and unoptimized backend keywords,LinkedIn InMail,Meeting Booked,2026-05-15,Meeting scheduled to review competitor PPC bids.
